file_name	study_id	species	cell_type	data_type	protocol	entry_count	processed_date
GSE105381.homo_sapiens.HepG2.tad.txt	GSE105381	homo_sapiens	HepG2	tad	Hi-C	3003	2019-02-22
GSE105491.homo_sapiens.SK-MEL-5.tad.txt	GSE105491	homo_sapiens	SK-MEL-5	tad	Hi-C	2256	2019-02-22
GSE105600.homo_sapiens.A549.tad.txt	GSE105600	homo_sapiens	A549	tad	Hi-C	1866	2019-02-22
GSE105697.homo_sapiens.T47D.tad.txt	GSE105697	homo_sapiens	T47D	tad	Hi-C	1890	2019-02-22
GSE105725.homo_sapiens.NCI-H460.tad.txt	GSE105725	homo_sapiens	NCI-H460	tad	Hi-C	1664	2019-02-22
GSE106015.homo_sapiens.SJCRH30.tad.txt	GSE106015	homo_sapiens	SJCRH30	tad	Hi-C	1387	2019-02-22
GSE106022.homo_sapiens.RPMI7951.tad.txt	GSE106022	homo_sapiens	RPMI7951	tad	Hi-C	1764	2019-02-22
GSE52457.homo_sapiens.H1-ESC.tad.txt	GSE52457	homo_sapiens	H1-ESC	tad	Hi-C	2414	2019-02-22
GSE52457.homo_sapiens.H1-MES.tad.txt	GSE52457	homo_sapiens	H1-MES	tad	Hi-C	2442	2019-02-22
GSE52457.homo_sapiens.H1-MSC.tad.txt	GSE52457	homo_sapiens	H1-MSC	tad	Hi-C	2295	2019-02-22
GSE52457.homo_sapiens.H1-NPC.tad.txt	GSE52457	homo_sapiens	H1-NPC	tad	Hi-C	1676	2019-02-22
GSE52457.homo_sapiens.H1-TRO.tad.txt	GSE52457	homo_sapiens	H1-TRO	tad	Hi-C	2056	2019-02-22
GSE58752.homo_sapiens.Aorta.tad.txt	GSE58752	homo_sapiens	Aorta	tad	Hi-C	1564	2019-02-22
GSE58752.homo_sapiens.Liver.tad.txt	GSE58752	homo_sapiens	Liver	tad	Hi-C	1828	2019-02-22
GSE58752.homo_sapiens.Thymus.tad.txt	GSE58752	homo_sapiens	Thymus	tad	Hi-C	1605	2019-02-22
GSE63525.homo_sapiens.GM12878.tad.txt	GSE63525	homo_sapiens	GM12878	tad	Hi-C	3255	2019-02-22
GSE63525.homo_sapiens.HMEC.tad.txt	GSE63525	homo_sapiens	HMEC	tad	Hi-C	3250	2019-02-22
GSE63525.homo_sapiens.HUVEC.tad.txt	GSE63525	homo_sapiens	HUVEC	tad	Hi-C	2468	2019-02-22
GSE63525.homo_sapiens.IMR90.tad.txt	GSE63525	homo_sapiens	IMR90	tad	Hi-C	3094	2019-02-22
GSE63525.homo_sapiens.K562.tad.txt	GSE63525	homo_sapiens	K562	tad	Hi-C	3243	2019-02-22
GSE63525.homo_sapiens.KBM7.tad.txt	GSE63525	homo_sapiens	KBM7	tad	Hi-C	2778	2019-02-22
GSE63525.homo_sapiens.NHEK.tad.txt	GSE63525	homo_sapiens	NHEK	tad	Hi-C	3178	2019-02-22
GSE84660.homo_sapiens.Epidermal_Keratinocyte_day0.tad.txt	GSE84660	homo_sapiens	Epidermal_Keratinocyte_day0	tad	Hi-C	2454	2019-02-22
GSE84660.homo_sapiens.Epidermal_Keratinocyte_day3.tad.txt	GSE84660	homo_sapiens	Epidermal_Keratinocyte_day3	tad	Hi-C	2462	2019-02-22
GSE84660.homo_sapiens.Epidermal_Keratinocyte_day6.tad.txt	GSE84660	homo_sapiens	Epidermal_Keratinocyte_day6	tad	Hi-C	2550	2019-02-22
GSE87112.homo_sapiens.Adrenal_Gland.tad.txt	GSE87112	homo_sapiens	Adrenal_Gland	tad	Hi-C	1408	2019-02-22
GSE87112.homo_sapiens.Bladder.tad.txt	GSE87112	homo_sapiens	Bladder	tad	Hi-C	1416	2019-02-22
GSE87112.homo_sapiens.Bowel_Small.tad.txt	GSE87112	homo_sapiens	Bowel_Small	tad	Hi-C	1276	2019-02-22
GSE87112.homo_sapiens.Brain-Cortex_Prefrontal.tad.txt	GSE87112	homo_sapiens	Brain-Cortex_Prefrontal	tad	Hi-C	1469	2019-02-22
GSE87112.homo_sapiens.Brain-Hippocampus.tad.txt	GSE87112	homo_sapiens	Brain-Hippocampus	tad	Hi-C	1504	2019-02-22
GSE87112.homo_sapiens.Heart-Right_Ventricle.tad.txt	GSE87112	homo_sapiens	Heart-Right_Ventricle	tad	Hi-C	1635	2019-02-22
GSE87112.homo_sapiens.Lung.tad.txt	GSE87112	homo_sapiens	Lung	tad	Hi-C	1438	2019-02-22
GSE87112.homo_sapiens.Muscle_Psoas.tad.txt	GSE87112	homo_sapiens	Muscle_Psoas	tad	Hi-C	1335	2019-02-22
GSE87112.homo_sapiens.Ovary.tad.txt	GSE87112	homo_sapiens	Ovary	tad	Hi-C	1222	2019-02-22
GSE87112.homo_sapiens.Pancreas.tad.txt	GSE87112	homo_sapiens	Pancreas	tad	Hi-C	1397	2019-02-22
GSE87112.homo_sapiens.Spleen.tad.txt	GSE87112	homo_sapiens	Spleen	tad	Hi-C	2432	2019-02-22
